ap_latest_rank,ap_preseason_rank,avg_closing_spread,avg_closing_total,avg_cover_margin,avg_lines_per_game,avg_margin,avg_opponent_postgame_elo,avg_opponent_pregame_elo,avg_points_against,avg_points_for,avg_team_postgame_elo,avg_team_pregame_elo,cfp_latest_rank,cfp_preseason_rank,classification,coaches_latest_rank,coaches_preseason_rank,conference,defense_explosiveness_allowed,defense_havoc_created,defense_line_yards_allowed,defense_passing_down_success_rate_allowed,defense_points_per_opportunity_allowed,defense_ppa_allowed,defense_standard_down_success_rate_allowed,defense_success_rate_allowed,fbs_avg_margin,fbs_avg_opponent_postgame_elo,fbs_avg_opponent_pregame_elo,fbs_games,fbs_losses,fbs_margin_sum,fbs_opponent_postgame_elo_sum,fbs_opponent_pregame_elo_sum,fbs_win_pct,fbs_wins,games_played,games_with_lines,latest_team_postgame_elo,line_count_sum,losses,margin_sum,offense_explosiveness,offense_havoc_allowed,offense_line_yards,offense_passing_down_success_rate,offense_points_per_opportunity,offense_ppa,offense_standard_down_success_rate,offense_success_rate,opponent_postgame_elo_sum,opponent_pregame_elo_sum,points_against,points_for,recent_avg_cover_margin,recent_avg_margin,recent_fbs_avg_margin,recent_fbs_win_pct,recent_win_pct,talent,team,team_id,wepa_allowed_total,wepa_explosiveness,wepa_explosiveness_allowed,wepa_pass,wepa_rush,wepa_rush_line_yards,wepa_rush_line_yards_allowed,wepa_success_rate,wepa_success_rate_allowed,wepa_total,win_pct,wins
,,15.167,53.528,-4.0,2.833,-19.167,1447.5,1428.833,33.333,14.167,1129.667,1148.333,,,fbs,,,Big 12,1.356967,0.149,2.878291,0.309917,4.0,0.26108,0.499112,0.442236,-22.727,1579.091,1558.727,11,11,-250,17370.0,17146.0,0.0,0,12,12,1110.0,34.0,11,-230,1.168967,0.188,2.600257,0.235294,2.961538,-0.01158,0.403614,0.341804,17370.0,17146.0,400,170,1.87,-15.79,-16.642,0.0,0.0233,702.74,Oklahoma State,197,0.233319,0.932467,0.997579,0.092023,0.004814,2.730624,2.858982,0.355865,0.430681,0.027787,0.0833,1
24,25,-6.962,57.603,-1.577,3.0,5.385,1481.308,1484.154,25.308,30.692,1693.077,1690.231,,,fbs,25,25,Big 12,1.280143,0.149,2.7959,0.310954,3.487805,0.141022,0.444984,0.402886,4.083,1604.75,1607.833,12,4,49,19257.0,19294.0,0.6667,8,13,13,1652.0,39.0,4,70,1.264485,0.153,2.740476,0.334483,4.139241,0.197024,0.496774,0.445055,19257.0,19294.0,329,399,-2.48,2.637,2.054,0.6416,0.6527,745.01,TCU,2628,0.106058,0.918564,0.933727,0.327172,0.072246,2.750782,2.755621,0.437834,0.381503,0.186519,0.6923,9
4,23,-19.839,54.699,7.804,2.929,27.643,1405.643,1440.286,11.786,39.429,1858.143,1823.5,4,8,fbs,4,24,Big 12,1.166868,0.233,2.111302,0.232044,2.40678,-0.065167,0.367311,0.314715,25.154,1513.769,1551.077,13,2,327,19679.0,20164.0,0.8462,11,14,14,2108.0,41.0,2,387,1.318683,0.152,2.818027,0.337176,4.0,0.245954,0.487032,0.43708,19679.0,20164.0,165,552,11.973,30.232,29.639,0.918,0.9196,757.49,Texas Tech,2641,-0.033832,1.001691,0.911685,0.344146,0.11379,2.769362,2.324715,0.426747,0.315717,0.213377,0.8571,12
,,-1.653,50.243,-0.903,2.917,0.75,1431.0,1423.5,23.583,24.333,1539.583,1547.083,,,fbs,,,Big 12,1.130372,0.164,2.938636,0.25098,3.521127,0.113387,0.50365,0.423412,-4.727,1561.091,1552.909,11,7,-52,17172.0,17082.0,0.3636,4,12,12,1448.0,35.0,7,9,1.368497,0.173,2.662803,0.254753,3.492063,0.149386,0.47081,0.399244,17172.0,17082.0,283,292,-4.5,-8.023,-9.901,0.2955,0.3142,709.99,UCF,2116,0.127663,1.026042,0.93707,0.189511,0.087558,2.724345,3.020256,0.395075,0.427603,0.117837,0.4167,5
15,14,-13.833,52.359,8.551,2.923,22.385,1429.615,1463.0,18.923,41.308,1805.615,1772.231,15,13,fbs,15,14,Big 12,1.344166,0.169,2.963676,0.283784,2.930556,0.067535,0.429766,0.381432,19.75,1548.75,1584.917,12,2,237,18585.0,19019.0,0.8333,10,13,13,1954.0,38.0,2,291,1.248999,0.124,3.540253,0.393701,5.011494,0.346616,0.532281,0.495268,18585.0,19019.0,246,537,6.766,19.228,18.253,0.8869,0.8899,707.86,Utah,254,0.088847,1.027543,1.041831,0.343308,0.271321,3.393092,2.955221,0.488911,0.381912,0.315556,0.8462,11
,,5.91,51.75,-3.174,2.833,-9.083,1501.833,1486.917,30.833,21.75,1369.667,1384.583,,,fbs,,,Big 12,1.392286,0.177,2.411429,0.331058,3.902439,0.158526,0.433735,0.399314,-13.727,1638.364,1622.091,11,8,-151,18022.0,17843.0,0.2727,3,12,12,1291.0,34.0,8,-109,1.216687,0.16,2.777347,0.251938,3.53125,0.071099,0.425676,0.372941,18022.0,17843.0,370,261,-3.67,-14.175,-15.623,0.2779,0.2961,662.33,West Virginia,277,0.163234,0.943588,0.971137,0.186593,0.031175,2.725716,2.545281,0.375517,0.40445,0.092338,0.3333,4
23,12,-7.397,53.878,-1.628,2.846,5.769,1489.385,1490.692,23.615,29.385,1599.0,1597.692,21,21,fbs,23,12,Big Ten,1.180196,0.153,3.008608,0.35124,4.333333,0.192434,0.488599,0.449766,2.167,1613.5,1614.917,12,4,26,19362.0,19379.0,0.6667,8,13,13,1583.0,37.0,4,75,1.162071,0.155,3.003513,0.352459,4.2125,0.206813,0.526227,0.475449,19362.0,19379.0,307,382,-4.317,2.805,1.686,0.6371,0.6456,662.13,Illinois,356,0.168286,0.893263,0.94593,0.345562,0.075203,2.943683,2.980272,0.465874,0.430675,0.189493,0.6923,9
1,20,-17.167,50.44,12.771,3.0,29.938,1560.562,1594.688,11.688,41.625,2094.312,2060.188,1,2,fbs,1,19,Big Ten,1.339352,0.232,2.283019,0.25,2.070175,0.014359,0.395548,0.343612,27.067,1664.6,1701.0,15,0,406,24969.0,25515.0,1.0,15,16,16,2191.0,48.0,0,479,1.222814,0.114,3.353302,0.406977,5.133929,0.342294,0.546667,0.513389,24969.0,25515.0,187,666,10.972,27.376,26.15,1.0,1.0,645.34,Indiana,84,0.025386,0.964516,0.993802,0.483442,0.191852,3.21487,2.446684,0.510992,0.332156,0.328115,1.0,16
17,17,-6.923,43.647,6.308,2.846,13.231,1541.077,1560.692,16.077,29.308,1824.077,1804.462,23,20,fbs,24,17,Big Ten,1.075925,0.169,2.82199,0.253219,3.339286,0.054506,0.442238,0.386277,12.083,1669.5,1690.75,12,4,145,20034.0,20289.0,0.6667,8,13,13,1933.0,37.0,4,172,1.099352,0.112,3.245062,0.260274,4.435897,0.153101,0.508532,0.440994,20034.0,20289.0,209,381,6.515,11.68,11.323,0.6702,0.6778,710.0,Iowa,2294,0.043273,0.935722,0.907421,0.232342,0.129558,3.10367,2.828816,0.428472,0.373883,0.142957,0.6923,9
,,2.021,50.694,-0.979,2.917,-3.0,1460.75,1456.5,26.5,23.5,1506.083,1510.333,,,fbs,,,Big Ten,1.213569,0.141,3.075333,0.291339,3.597403,0.112229,0.490228,0.432028,-5.727,1593.545,1588.909,11,8,-63,17529.0,17478.0,0.2727,3,12,12,1387.0,35.0,8,-36,1.293594,0.142,2.793266,0.330855,3.393939,0.113569,0.415094,0.386733,17529.0,17478.0,318,282,-5.44,-12.597,-13.886,0.0895,0.1182,699.31,Maryland,120,0.126549,0.96621,0.954668,0.19343,0.018931,2.784735,3.010347,0.373943,0.428053,0.094655,0.3333,4
18,14,-9.462,47.333,-2.308,3.0,7.154,1587.308,1588.385,20.385,27.538,1813.154,1812.077,18,21,fbs,17,14,Big Ten,1.129912,0.167,2.642289,0.32567,3.791045,0.112932,0.457711,0.417824,7.154,1587.308,1588.385,13,4,93,20635.0,20649.0,0.6923,9,13,13,1814.0,39.0,4,93,1.135395,0.121,3.318919,0.289157,3.643678,0.198473,0.523102,0.454971,20635.0,20649.0,265,358,-2.668,4.96,4.96,0.6987,0.6987,907.22,Michigan,130,0.110693,0.966958,0.928733,0.238144,0.208437,3.258102,2.716619,0.461875,0.407144,0.215374,0.6923,9
,,3.333,49.153,-2.0,2.917,-5.333,1534.417,1537.833,29.917,24.583,1385.917,1382.5,,,fbs,,,Big Ten,1.182073,0.135,2.87124,0.290749,3.905405,0.197972,0.510018,0.445876,-7.364,1673.909,1677.636,11,8,-81,18413.0,18454.0,0.2727,3,12,12,1409.0,35.0,8,-64,1.201113,0.18,2.580441,0.294118,3.75,0.130567,0.476103,0.420716,18413.0,18454.0,359,295,0.339,-5.844,-6.613,0.2542,0.2785,717.42,Michigan State,127,0.171414,0.959255,0.937891,0.249835,0.066388,2.614849,2.869775,0.420871,0.427427,0.13831,0.3333,4
,,-0.731,44.59,-0.654,2.923,0.077,1498.077,1490.385,22.923,23.0,1549.769,1557.462,,,fbs,,,Big Ten,1.248583,0.176,2.78267,0.328829,3.84127,0.176627,0.484436,0.4375,-5.417,1622.917,1614.583,12,5,-65,19475.0,19375.0,0.5833,7,13,13,1510.0,38.0,5,1,1.144668,0.158,2.750311,0.277778,3.786885,0.108826,0.465447,0.404959,19475.0,19375.0,298,299,0.476,-3.884,-5.814,0.523,0.5358,711.04,Minnesota,135,0.198446,0.933895,0.974321,0.203314,0.021302,2.651115,2.90384,0.380926,0.439505,0.096432,0.6154,8
25,25,-6.737,48.756,-2.66,2.923,4.077,1512.154,1514.769,24.615,28.692,1644.231,1641.615,,,fbs,,,Big Ten,1.270282,0.144,3.152902,0.340426,4.369231,0.190138,0.4625,0.426415,0.083,1638.167,1641.0,12,6,1,19658.0,19692.0,0.5,6,13,13,1580.0,38.0,6,53,1.107669,0.128,3.187799,0.338095,3.925926,0.181922,0.512658,0.469121,19658.0,19692.0,320,373,-7.154,-5.628,-7.564,0.3843,0.4043,821.39,Nebraska,158,0.183401,0.913734,1.026321,0.230712,0.108873,3.012243,3.076863,0.445087,0.421464,0.158712,0.5385,7
,,1.577,46.013,5.115,2.923,3.538,1462.077,1473.077,19.846,23.385,1488.077,1477.077,,,fbs,,,Big Ten,1.1594,0.15,3.169543,0.346667,3.371429,0.170642,0.493625,0.450904,0.917,1583.917,1595.833,12,6,11,19007.0,19150.0,0.5,6,13,13,1524.0,38.0,6,46,1.174474,0.167,2.982005,0.32377,3.211268,0.146085,0.473422,0.43026,19007.0,19150.0,258,304,3.855,-0.316,-1.274,0.4145,0.43,677.97,Northwestern,77,0.15148,0.933194,0.965376,0.202139,0.115481,2.905492,3.004761,0.420457,0.440201,0.138467,0.5385,7
3,3,-20.464,48.039,3.679,3.0,24.143,1554.214,1565.929,9.286,33.429,2091.857,2080.143,2,1,fbs,3,2,Big Ten,1.04336,0.163,2.690051,0.236842,2.644444,-0.013623,0.420949,0.357513,20.615,1673.769,1686.385,13,2,268,21759.0,21923.0,0.8462,11,14,14,2169.0,42.0,2,338,1.145079,0.112,3.122566,0.39,4.82716,0.327146,0.572886,0.531603,21759.0,21923.0,130,468,2.847,21.83,20.775,0.8003,0.8046,973.69,Ohio State,194,0.012084,0.893292,0.918944,0.471932,0.101933,2.998931,2.682267,0.512354,0.344057,0.289073,0.8571,12
5,7,-15.628,51.922,3.439,2.867,19.067,1623.133,1637.2,17.867,36.933,2040.867,2026.8,5,9,fbs,5,7,Big Ten,1.226068,0.182,2.778571,0.271293,3.903226,0.040779,0.41129,0.363927,17.143,1739.071,1754.143,14,2,240,24347.0,24558.0,0.8571,12,15,15,2087.0,43.0,2,286,1.34345,0.109,3.078998,0.316981,4.09901,0.302712,0.532033,0.474059,24347.0,24558.0,268,554,2.459,17.008,16.362,0.9187,0.9205,941.22,Oregon,2483,0.030482,1.014734,0.960975,0.366071,0.202048,3.094733,2.782049,0.484646,0.34253,0.290032,0.8667,13
7,2,-13.301,49.846,-2.84,2.923,10.462,1529.308,1520.923,20.538,31.0,2008.154,2016.538,,,fbs,22,3,Big Ten,1.184686,0.159,2.934152,0.2875,3.333333,0.10487,0.460573,0.408521,7.5,1656.75,1647.667,12,6,90,19881.0,19772.0,0.5,6,13,13,1951.0,38.0,6,136,1.197725,0.135,3.124667,0.313084,4.32,0.227899,0.515913,0.462392,19881.0,19772.0,267,403,0.206,7.388,6.167,0.5584,0.5719,910.42,Penn State,213,0.109177,0.97498,0.959014,0.310994,0.155429,3.004975,2.953189,0.467874,0.394713,0.229644,0.5385,7
,,9.778,52.312,-3.306,2.917,-13.083,1594.667,1596.333,31.833,18.75,1297.5,1295.833,,,fbs,,,Big Ten,1.243491,0.152,3.213115,0.322275,4.028986,0.269712,0.537341,0.477632,-15.818,1739.636,1741.455,11,10,-174,19136.0,19156.0,0.0909,1,12,12,1227.0,35.0,10,-157,1.221109,0.16,2.903056,0.341176,3.061538,0.097369,0.458491,0.420382,19136.0,19156.0,382,225,-7.491,-23.08,-24.278,0.0254,0.0537,687.74,Purdue,2509,0.205709,0.990977,0.933971,0.165795,0.119308,2.923394,3.08346,0.417994,0.440924,0.121956,0.1667,2
,,1.306,55.403,-1.861,2.917,-3.167,1551.583,1547.167,31.833,28.667,1512.0,1516.417,,,fbs,,,Big Ten,1.344639,0.124,3.175272,0.333333,4.453333,0.308726,0.531873,0.473315,-8.0,1692.636,1687.818,11,7,-88,18619.0,18566.0,0.3636,4,12,12,1469.0,35.0,7,-38,1.219662,0.159,3.034475,0.34902,3.378049,0.210159,0.508091,0.461627,18619.0,18566.0,382,344,-0.244,-9.301,-11.361,0.2741,0.2985,689.22,Rutgers,164,0.300485,0.924103,1.039043,0.3182,0.080873,2.949124,3.067286,0.460652,0.463898,0.206246,0.4167,5
,,9.347,50.889,-5.903,2.917,-15.25,1716.5,1702.333,33.417,18.167,1374.167,1388.333,,,fbs,,,Big Ten,1.148523,0.12,3.324368,0.40404,4.605263,0.260926,0.530017,0.498079,-15.25,1716.5,1702.333,12,9,-183,20598.0,20428.0,0.25,3,12,12,1322.0,35.0,9,-183,1.167566,0.159,3.038776,0.311688,2.984127,0.117325,0.458498,0.412483,20598.0,20428.0,401,218,-5.606,-19.229,-19.229,0.1844,0.1844,766.62,UCLA,26,0.185249,0.989163,0.941729,0.18262,0.156368,2.993565,3.12728,0.423411,0.45619,0.15026,0.25,3
16,20,-10.942,58.077,1.827,2.923,12.769,1624.538,1639.538,23.0,35.769,1887.769,1872.769,16,19,fbs,16,21,Big Ten,1.161715,0.159,3.28799,0.330579,3.530303,0.148791,0.498252,0.448403,12.769,1624.538,1639.538,13,4,166,21119.0,21314.0,0.6923,9,13,13,1889.0,38.0,4,166,1.342008,0.132,3.154745,0.380531,4.658824,0.344159,0.530844,0.490499,21119.0,21314.0,299,465,0.404,8.216,8.216,0.7067,0.7067,847.53,USC,30,0.130092,0.992617,0.900752,0.456886,0.164007,3.06472,3.153993,0.484736,0.428003,0.314139,0.6923,9
24,24,-8.878,52.699,6.506,2.923,15.385,1456.846,1478.462,18.692,34.077,1709.308,1687.692,23,23,fbs,,,Big Ten,1.212395,0.146,2.793548,0.296667,2.929577,0.057432,0.425225,0.380117,11.667,1578.25,1601.667,12,4,140,18939.0,19220.0,0.6667,8,13,13,1801.0,38.0,4,200,1.257378,0.135,3.224065,0.362445,4.578313,0.290008,0.537688,0.489104,18939.0,19220.0,243,443,5.949,12.207,10.917,0.5783,0.5893,720.56,Washington,264,0.063155,0.989056,0.894446,0.338699,0.161102,2.968048,2.756529,0.474546,0.373642,0.239546,0.6923,9
,,7.042,42.556,-1.708,2.917,-8.75,1745.833,1743.0,21.583,12.833,1513.667,1516.5,,,fbs,,,Big Ten,1.133457,0.129,2.73892,0.284444,3.134328,0.172562,0.518234,0.447721,-8.75,1745.833,1743.0,12,8,-105,20950.0,20916.0,0.3333,4,12,12,1502.0,35.0,8,-105,1.196673,0.183,2.872658,0.256637,2.282609,0.022418,0.418067,0.366097,20950.0,20916.0,259,154,1.806,-8.897,-8.897,0.3304,0.3304,763.17,Wisconsin,275,0.130372,0.994871,0.908728,0.123149,0.099822,2.961939,2.718941,0.386507,0.417902,0.083937,0.3333,4
,,0.256,55.128,-1.744,2.846,-2.0,1280.462,1269.385,31.0,29.0,1417.385,1428.462,,,fbs,,,Conference USA,1.423137,0.158,2.810926,0.335664,4.0375,0.207568,0.450085,0.412771,-3.667,1387.167,1375.167,12,6,-44,16646.0,16502.0,0.5,6,13,13,1339.0,37.0,6,-26,1.283556,0.154,2.86168,0.296417,3.517241,0.192645,0.496923,0.432602,16646.0,16502.0,403,377,-2.814,-3.412,-3.889,0.4684,0.48,242.85,Delaware,48,0.236852,0.988018,1.050742,0.230651,0.068169,2.750291,2.887171,0.405168,0.44043,0.153633,0.5385,7
,,2.34,53.692,0.878,2.769,-1.462,1322.385,1318.692,30.0,28.538,1317.231,1320.923,,,fbs,,,Conference USA,1.270342,0.164,3.182938,0.282759,3.654762,0.149935,0.481717,0.418934,-4.333,1432.583,1428.583,12,6,-52,17191.0,17143.0,0.5,6,13,13,1417.0,36.0,6,-19,1.306832,0.169,2.774617,0.266667,4.120482,0.15773,0.474878,0.406761,17191.0,17143.0,390,371,7.856,7.577,7.011,0.6872,0.694,562.61,Florida International,2229,0.168547,1.038265,0.954868,0.193338,0.085965,2.699973,3.19532,0.371543,0.43448,0.102728,0.5385,7
,,-0.42,54.631,2.509,3.0,2.929,1261.429,1250.071,25.214,28.143,1545.286,1556.643,,,fbs,,,Conference USA,1.295381,0.17,2.704393,0.302632,3.783784,0.154319,0.476415,0.420213,0.462,1358.462,1346.231,13,5,6,17660.0,17501.0,0.6154,8,14,14,1488.0,42.0,5,41,1.251716,0.14,3.193974,0.314079,3.733333,0.186878,0.489177,0.439175,17660.0,17501.0,353,394,1.987,1.751,0.723,0.6,0.612,519.93,Jacksonville State,55,0.202304,1.040445,0.999799,0.185665,0.138231,2.983272,2.84071,0.39979,0.452693,0.137494,0.6429,9
,,0.08,52.464,1.295,3.0,1.214,1292.071,1295.214,25.5,26.714,1317.143,1314.0,,,fbs,,,Conference USA,1.225039,0.168,2.979615,0.263333,3.56962,0.165752,0.492669,0.422607,0.231,1391.462,1394.846,13,4,3,18089.0,18133.0,0.6923,9,14,14,1414.0,42.0,4,17,1.333804,0.152,2.866925,0.309598,2.946237,0.153555,0.461187,0.411224,18089.0,18133.0,357,374,1.343,4.635,4.392,0.8288,0.8331,338.87,Kennesaw State,338,0.190129,0.984317,0.97158,0.286973,0.107951,2.862937,3.083146,0.405477,0.449385,0.15205,0.7143,10
,,-3.451,50.396,-4.368,2.833,-0.917,1299.25,1294.167,26.5,25.583,1461.75,1466.833,,,fbs,,,Conference USA,1.299803,0.132,3.143735,0.322314,3.551282,0.203934,0.455882,0.414758,-2.909,1417.364,1411.818,11,8,-32,15591.0,15530.0,0.2727,3,12,12,1441.0,34.0,8,-11,1.206573,0.159,2.879873,0.306034,3.677419,0.167218,0.487002,0.435105,15591.0,15530.0,318,307,-3.491,-1.17,-1.691,0.2371,0.2546,599.12,Liberty,2335,0.22983,0.970509,0.950062,0.230416,0.165025,2.883776,3.145586,0.427849,0.451899,0.165586,0.3333,4
,,-1.744,48.301,4.795,2.846,6.538,1221.154,1223.769,20.769,27.308,1428.231,1425.615,,,fbs,,,Conference USA,1.359195,0.195,2.656061,0.293578,3.074627,0.045351,0.414634,0.370699,5.083,1322.917,1325.75,12,5,61,15875.0,15909.0,0.5833,7,13,13,1429.0,37.0,5,85,1.227253,0.147,2.990541,0.258687,3.319444,0.141238,0.466338,0.404378,15875.0,15909.0,270,355,3.422,4.465,4.022,0.5793,0.5886,493.5,Louisiana Tech,2348,0.125542,1.007277,1.012053,0.204766,0.128288,2.942616,2.794359,0.38835,0.40521,0.131322,0.6154,8
,,4.694,51.472,-3.806,2.833,-8.5,1241.167,1235.833,30.917,22.417,1174.167,1179.5,,,fbs,,,Conference USA,1.279341,0.157,2.575616,0.313559,4.027027,0.209874,0.493849,0.440994,-7.455,1354.0,1348.182,11,8,-82,14894.0,14830.0,0.2727,3,12,12,1164.0,34.0,9,-102,1.219788,0.18,2.886755,0.283088,3.2,0.142399,0.489399,0.422434,14894.0,14830.0,371,269,-0.801,-4.422,-4.06,0.3871,0.3784,520.55,Middle Tennessee,2393,0.23766,0.927852,0.919927,0.204324,0.077414,2.84584,2.707881,0.413078,0.467513,0.139044,0.25,3
,,4.532,53.577,1.378,2.923,-3.154,1304.231,1291.0,28.769,25.615,1342.0,1355.231,,,fbs,,,Conference USA,1.318978,0.15,2.751825,0.274131,3.891892,0.24396,0.49322,0.426384,-6.083,1412.917,1398.583,12,6,-73,16955.0,16783.0,0.5,6,13,13,1344.0,38.0,6,-41,1.487063,0.239,2.472162,0.294118,3.694444,0.171375,0.448463,0.393481,16955.0,16783.0,374,333,0.697,-0.676,-1.9,0.5261,0.5432,426.1,Missouri State,2623,0.242683,0.982681,1.012427,0.275351,0.052523,2.57913,2.857523,0.379161,0.443778,0.14644,0.5385,7
,,7.257,51.458,1.257,2.833,-6.0,1236.083,1229.917,27.583,21.583,1201.917,1208.083,,,fbs,,,Conference USA,1.191115,0.156,2.9898,0.265233,3.285714,0.099323,0.487844,0.418527,-8.0,1348.455,1341.727,11,8,-88,14833.0,14759.0,0.2727,3,12,12,1172.0,34.0,8,-72,1.251432,0.203,2.195894,0.260317,3.214286,0.031141,0.422939,0.364261,14833.0,14759.0,331,259,1.168,-8.058,-8.602,0.2367,0.2536,402.9,New Mexico State,166,0.149316,0.955854,0.930014,0.135108,0.005031,2.48291,3.090266,0.356834,0.450042,0.034589,0.3333,4
,,11.882,52.764,-8.201,2.917,-20.083,1408.25,1370.083,37.833,17.75,1178.417,1216.583,,,fbs,,,Conference USA,1.266208,0.144,2.911111,0.34375,3.852632,0.236775,0.529511,0.47858,-20.083,1408.25,1370.083,12,10,-241,16899.0,16441.0,0.1667,2,12,12,994.0,35.0,10,-241,1.252168,0.2,2.585498,0.213768,2.788462,0.001107,0.446939,0.362924,16899.0,16441.0,454,213,-7.592,-19.169,-19.169,0.2541,0.2541,477.35,Sam Houston,2534,0.235339,1.000835,0.977891,0.043056,0.087063,2.66725,2.971273,0.359146,0.487477,0.023752,0.1667,2
,,4.5,49.778,-2.583,2.917,-7.083,1274.25,1265.5,30.417,23.333,1215.167,1223.917,,,fbs,,,Conference USA,1.212601,0.157,2.57759,0.273356,3.84507,0.100776,0.445561,0.389391,-10.0,1390.091,1380.545,11,10,-110,15291.0,15186.0,0.0909,1,12,12,1135.0,35.0,10,-85,1.452336,0.186,2.155102,0.234201,3.418182,0.012784,0.376923,0.328264,15291.0,15186.0,365,280,-6.85,-10.323,-11.303,0.0736,0.0986,551.88,UTEP,2638,0.140601,1.010506,0.957112,0.04887,0.043377,2.334757,2.805383,0.315414,0.419806,-0.005092,0.1667,2
,,-2.897,56.449,3.795,2.846,6.692,1265.154,1265.077,22.846,29.538,1402.692,1402.769,,,fbs,,,Conference USA,1.336222,0.161,2.878795,0.261682,2.719512,0.096173,0.416799,0.364496,3.167,1370.583,1370.5,12,4,38,16447.0,16446.0,0.6667,8,13,13,1401.0,37.0,4,87,1.204288,0.151,3.009114,0.338926,4.209877,0.165711,0.480583,0.434498,16447.0,16446.0,297,384,3.87,3.911,2.821,0.5262,0.5373,561.36,Western Kentucky,98,0.153262,0.926953,1.007084,0.195943,0.082037,2.982158,2.962251,0.409358,0.403953,0.126231,0.6923,9
9,6,-19.917,55.417,4.5,3.0,24.417,1543.5,1549.333,17.583,42.0,2187.083,2181.25,11,10,fbs,9,5,FBS Independents,1.244048,0.184,2.799458,0.265101,2.575758,0.023058,0.41954,0.363415,24.417,1543.5,1549.333,12,2,293,18522.0,18592.0,0.8333,10,12,12,2243.0,36.0,2,293,1.496671,0.134,2.867303,0.409283,4.792683,0.332613,0.486792,0.462842,18522.0,18592.0,211,504,5.644,30.315,30.315,0.9466,0.9466,912.11,Notre Dame,87,0.028467,1.0869,0.931751,0.376222,0.192647,2.898676,2.779481,0.478209,0.34991,0.297044,0.8333,10
,,-6.321,55.346,1.987,2.846,8.308,1244.769,1246.538,27.0,35.308,1506.231,1504.462,,,fbs,,,FBS Independents,1.183562,0.148,3.349902,0.326848,3.8,0.208044,0.513081,0.462434,5.167,1348.5,1350.417,12,4,62,16182.0,16205.0,0.6667,8,13,13,1554.0,37.0,4,108,1.341891,0.119,2.975064,0.298893,4.580247,0.312234,0.532203,0.458769,16182.0,16205.0,351,459,2.892,8.355,7.378,0.8124,0.8172,568.12,UConn,41,0.242933,0.967634,0.948826,0.318551,0.123618,2.941003,3.3951,0.427319,0.494028,0.208167,0.6923,9
,,6.174,49.361,1.007,2.917,-5.167,1155.333,1143.333,27.417,22.25,1064.333,1076.333,,,fbs,,,Mid-American,1.312442,0.173,2.906098,0.264317,3.684932,0.145648,0.45922,0.403287,-9.636,1260.364,1247.273,11,7,-106,13864.0,13720.0,0.3636,4,12,12,1101.0,35.0,7,-62,1.180533,0.179,2.83875,0.276224,3.253333,0.070164,0.455516,0.395047,13864.0,13720.0,329,267,2.496,0.372,-1.643,0.5115,0.5331,537.21,Akron,2006,0.224344,0.889704,0.96934,0.173969,0.002352,2.689618,3.07663,0.354828,0.463247,0.045828,0.4167,5
,,12.826,47.167,-1.174,2.917,-14.0,1243.75,1225.917,29.833,15.833,1062.917,1080.75,,,fbs,,,Mid-American,1.262002,0.14,2.947887,0.329167,3.565789,0.182677,0.496454,0.446517,-15.727,1356.818,1337.364,11,8,-173,14925.0,14711.0,0.2727,3,12,12,1010.0,35.0,8,-168,1.322089,0.21,2.509677,0.218868,2.706897,-0.001315,0.384289,0.324728,14925.0,14711.0,358,190,-2.504,-14.62,-15.269,0.2497,0.2737,495.35,Ball State,2050,0.198699,0.982861,0.981438,0.060815,0.019343,2.481865,2.903583,0.299071,0.463969,0.006683,0.3333,4
,,2.062,47.854,-1.688,2.833,-3.75,1204.833,1188.083,24.25,20.5,1354.167,1370.917,,,fbs,,,Mid-American,1.30372,0.19,2.708929,0.300847,3.442857,0.146196,0.454728,0.405184,-5.818,1314.364,1296.091,11,8,-64,14458.0,14257.0,0.2727,3,12,12,1260.0,34.0,8,-45,1.239441,0.16,2.885102,0.257812,3.190476,0.026926,0.410609,0.359477,14458.0,14257.0,291,246,-2.021,-0.392,-0.874,0.3058,0.3226,527.31,Bowling Green,189,0.18553,0.986921,1.007342,0.113756,0.057973,2.78044,2.848824,0.333784,0.4406,0.032683,0.3333,4
,,-5.729,46.396,-5.229,2.917,0.5,1180.5,1170.667,23.5,24.0,1356.667,1366.5,,,fbs,,,Mid-American,1.238878,0.153,2.916993,0.282609,3.069444,0.106759,0.439153,0.3879,-3.0,1287.818,1277.091,11,7,-33,14166.0,14048.0,0.3636,4,12,12,1298.0,35.0,7,6,1.166606,0.161,2.798469,0.270073,3.5,0.080909,0.458111,0.396407,14166.0,14048.0,282,288,-5.259,-3.521,-4.754,0.273,0.2935,513.33,Buffalo,2084,0.171865,0.933696,0.950656,0.152672,-0.024237,2.565088,3.050822,0.341939,0.4382,0.030662,0.4167,5
,,2.244,46.949,1.244,2.923,-1.0,1240.923,1240.692,23.538,22.538,1201.769,1202.0,,,fbs,,,Mid-American,1.168095,0.169,2.930549,0.266917,3.135135,0.08441,0.463866,0.40302,-4.333,1344.333,1344.083,12,6,-52,16132.0,16129.0,0.5,6,13,13,1282.0,38.0,6,-13,1.160794,0.155,2.795202,0.262745,3.6,0.136623,0.472826,0.406444,16132.0,16129.0,306,293,3.313,2.887,1.457,0.5524,0.5694,481.16,Central Michigan,2117,0.152365,0.944045,0.939131,0.315045,0.048467,2.730719,3.009899,0.378835,0.443275,0.123694,0.5385,7
